STUDYNO	EDITION	PART	IDNO	FIPS_ST	FIPS_CTY	CPOPARST	CPOPCRIM	AG_ARRST	AG_OFF	COVIND	VIOL	PROPERTY	MURDER	RAPE	ROBBERY	AGASSLT	BURGLRY	LARCENY	MVTHEFT	ARSON
9999	2	4	241	6	107	431712	431712	14	12	100	2230	15681	31	132	488	1579	4139	9326	2216	91
9999	2	4	242	6	109	55563	55563	4	3	100	158	1300	1	25	19	113	354	846	100	11
9999	2	4	243	6	111	799696	799696	21	18	100	2021	15329	29	116	757	1119	2954	11221	1154	113
9999	2	4	244	6	113	200326	200326	10	8	100	556	5760	7	68	171	310	1357	3844	559	75
9999	2	4	245	6	115	74386	74386	6	5	100	279	1499	3	24	46	206	455	836	208	21
9999	2	4	246	6	777	0	0	1	1	100	126	378	0	0	0	126	153	210	15	0
9999	2	4	247	8	1	437305	441517	8	10	100	1455	14367	13	246	274	922	2661	9835	1871	94
9999	2	4	248	8	3	15494	15494	3	3	100	44	605	2	8	2	32	101	491	13	6
9999	2	4	249	8	5	612297	562660	13	12	100	2042	15775	22	250	612	1158	3016	11116	1643	145
9999	2	4	250	8	7	13000	13000	3	2	100	33	191	1	7	0	25	44	136	11	0
9999	2	4	251	8	9	3773	3773	4	4	100	21	8	0	1	0	20	1	4	3	0
9999	2	4	252	8	11	5907	5907	2	2	100	7	56	0	1	1	5	7	41	8	0
9999	2	4	253	8	13	304557	296153	8	8	100	716	7145	7	66	117	526	1367	5455	324	106
9999	2	4	254	8	14	56991	56991	1	1	100	45	1121	3	8	11	23	115	948	58	13
9999	2	4	255	8	15	17101	17101	3	3	100	15	294	0	0	0	15	51	228	15	3
9999	2	4	256	8	17	1707	1707	1	1	100	0	3	0	0	0	0	1	1	1	0
9999	2	4	257	8	19	8880	7860	4	3	96.937	32	133	0	2	0	30	35	90	8	3
9999	2	4	258	8	21	8044	0	1	0	0	0	0	0	0	0	0	0	0	0	0
9999	2	4	259	8	23	3192	0	1	0	0	0	0	0	0	0	0	0	0	0	0
9999	2	4	260	8	25	6442	6442	1	1	100	1	0	0	0	0	1	0	0	0	0
9999	2	4	261	8	27	4064	4064	1	1	100	7	49	0	0	0	7	17	26	6	0
9999	2	4	262	8	29	31330	31330	5	5	100	93	709	0	37	5	51	122	544	43	7
9999	2	4	263	8	31	604680	604680	5	3	100	3481	21059	35	341	933	2172	4764	12797	3497	136
9999	2	4	264	8	33	2006	2006	1	1	100	0	19	0	0	0	0	16	2	1	0
9999	2	4	265	8	35	295015	295326	4	6	100	368	3233	0	186	47	135	645	2431	158	21
9999	2	4	266	8	37	54584	53719	6	6	100	60	1166	1	6	6	47	175	967	23	3
9999	2	4	267	8	39	23309	22622	4	3	100	11	87	0	4	1	6	31	56	0	3
9999	2	4	268	8	41	606312	605397	10	9	99.9677	2851	17832	22	428	555	1846	4096	12371	1365	138
9999	2	4	269	8	43	47475	47475	3	3	100	163	685	0	38	6	119	120	541	23	3
9999	2	4	270	8	45	56932	26884	8	5	100	95	891	2	24	6	63	108	757	26	3
9999	2	4	271	8	47	5201	5201	4	3	100	23	220	0	1	1	21	8	200	12	0
9999	2	4	272	8	49	13956	13956	4	4	100	43	289	0	0	0	43	55	225	9	0
9999	2	4	273	8	51	15305	15305	4	4	100	45	529	0	3	2	40	57	455	17	1
9999	2	4	274	8	53	847	847	1	1	100	1	8	0	1	0	0	0	7	1	0
9999	2	4	275	8	55	7964	4168	3	2	100	0	5	0	0	0	0	0	5	0	0
9999	2	4	276	8	57	1325	1325	1	1	100	1	17	0	0	0	1	14	2	1	0
9999	2	4	277	8	59	491138	535007	11	14	100	1378	15277	16	186	280	896	2320	11566	1391	85
